dish_name,category,price_vnd_k,filename,prompt_used,actual_resolution,status
Veg Manchurian (Dry),Small Plates & Bar Bites,195,small-plates-bar-bites/veg-manchurian-dry.png,"A premium editorial food photograph of Veg Manchurian (Dry): crispy vegetable balls tossed with garlic, peppers and a savoury sauce Glossy dark-glazed vegetable balls with diced bell pepper and spring onion. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok (pre-existing)
Hakka Noodles,Small Plates & Bar Bites,180,small-plates-bar-bites/hakka-noodles.png,"A premium editorial food photograph of Hakka Noodles: stir-fried noodles with fresh vegetables, garlic and aromatic seasoning Glossy stir-fried noodles tangled with julienned carrot, cabbage and bell pepper. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok (pre-existing)
Chicken 65,Small Plates & Bar Bites,220,small-plates-bar-bites/chicken-65.png,"A premium editorial food photograph of Chicken 65: crispy fried chicken tossed with curry leaves, garlic and aromatic South Indian spices Deep red crispy chicken pieces flecked with fried curry leaves and garlic slivers. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok (pre-existing)
Chilli Chicken,Small Plates & Bar Bites,220,small-plates-bar-bites/chilli-chicken.png,"A premium editorial food photograph of Chilli Chicken: crispy chicken tossed in a bold chilli sauce A generous, abundant portion filling the bowl completely and mounded high: glossy dark-red sauced chicken pieces with charred bell pepper and onion petals. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Butter Garlic Prawns,Small Plates & Bar Bites,250,small-plates-bar-bites/butter-garlic-prawns.png,"A premium editorial food photograph of Butter Garlic Prawns: juicy prawns sauteed with garlic, herbs and butter A generous, abundant portion of large plump pink-orange prawns glistening in garlic butter, filling the plate, with visible garlic slivers and chopped parsley, sauce well filled with a lemon wedge. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok
Fish Amritsari,Small Plates & Bar Bites,245,small-plates-bar-bites/fish-amritsari.png,"A premium editorial food photograph of Fish Amritsari: crispy fish fingers coated in gram flour and Amritsari spices Golden-battered fish fingers stacked neatly, thin red onion rings and a lemon wedge beside them, sauce well filled with mint chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok (pre-existing)
Masala Papad,Chaat & Fast Sellers,55,chaat-fast-sellers/masala-papad.png,"A premium editorial food photograph of Masala Papad: crispy papad topped with onion, tomato and fresh herbs A large thin crisp papad generously topped with finely diced onion, tomato and cilantro, sauce well filled with mint chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok (pre-existing)
Pani Puri Shots,Chaat & Fast Sellers,90,chaat-fast-sellers/pani-puri-shots.png,"A premium editorial food photograph of Pani Puri Shots: crispy puris served with tangy flavored waters and chutneys Each round well of the tray holds a small clear glass filled with tangy flavored pani puri water, alternating vivid mint-green and tamarind-brown, with a few round hollow crisp puris filled with mashed potato and chickpeas arranged on a small plate beside the tray. Shot from a angle that keeps the ENTIRE tray and every single glass fully inside the frame with comfortable empty margin on all four sides — zoom out enough that nothing is cropped, no glass or end of the tray touches or crosses the edge of the photo. Presented on a curved dark walnut wooden serving tray with a row of round drilled wells, each well holding one small clear glass upright, exactly like the reference tray provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2476x1696,ok
Dahi Papdi Chaat,Chaat & Fast Sellers,150,chaat-fast-sellers/dahi-papdi-chaat.png,"A premium editorial food photograph of Dahi Papdi Chaat: crispy wafers topped with yogurt, chutneys and spices Crisp round papdi wafers layered under a generous swirl of thick white yogurt, drizzled with tamarind and mint chutneys and dusted with spice, sauce well filled with extra chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok (pre-existing)
Aloo Tikki Chaat,Chaat & Fast Sellers,155,chaat-fast-sellers/aloo-tikki-chaat.png,"A premium editorial food photograph of Aloo Tikki Chaat: crispy potato patties topped with yogurt and chutneys Golden-crusted potato patties topped with thick yogurt, tamarind and mint chutney swirls and a few chickpeas, sauce well filled with extra chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok (pre-existing)
Papad,Chaat & Fast Sellers,45,chaat-fast-sellers/papad.png,"A premium editorial food photograph of Papad: crispy lentil wafers served as a light and crunchy starter A single large thin golden roasted lentil papad with a light cracked texture, sauce well filled with mint chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok (pre-existing)
Green Salad,Chaat & Fast Sellers,100,chaat-fast-sellers/green-salad.png,"A premium editorial food photograph of Green Salad: fresh and crisp salad with cucumbers, tomatoes, onions and carrots A generous, abundant, colorful pile heaped high — crisp cucumber rounds, tomato wedges, thin red onion rings and julienned carrot, filling the bowl completely, looking fresh and luscious. No chutney, no dressing, no dip of any kind — the vegetables alone. Presented in a small plain matte white ceramic bowl, round with a simple smooth rim and no handles — a plain, unadorned small white bowl, exactly like a simple everyday side-dish bowl (NOT the speckled cream two-handled bowl used for other dishes). Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Crispy Corn,Chaat & Fast Sellers,125,chaat-fast-sellers/crispy-corn.png,"A premium editorial food photograph of Crispy Corn: crispy sweet corn tossed with spices, herbs and chilli A generous portion mounded high, filling the bowl completely: golden crispy corn kernels tossed with herbs and a light chilli dusting. No sauce, no dip. Presented in a small plain matte white ceramic bowl, round with a simple smooth rim and no handles — a plain, unadorned small white bowl, exactly like a simple everyday side-dish bowl (NOT the speckled cream two-handled bowl used for other dishes). Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Chole Bhature,Chaat & Fast Sellers,185,chaat-fast-sellers/chole-bhature.png,"A premium editorial food photograph of Chole Bhature: spiced chickpea curry served with fluffy fried bhature bread A generous, hearty portion: a rich dark-brown spiced chickpea curry piled high in the sauce well, beside it on the plate TWO large, extra-puffy golden fried bhature breads (not one — exactly two whole puffed bhature, each large and generously sized), thin red onion rings and a lemon wedge. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok
Mix Raita,Chaat & Fast Sellers,95,chaat-fast-sellers/mix-raita.png,"A premium editorial food photograph of Mix Raita: refreshing yogurt with vegetables and roasted spices A generous portion filling the bowl completely: thick white yogurt studded with finely diced cucumber, tomato and onion, dusted with roasted cumin, small mint leaf garnish on top. Presented in a small plain matte white ceramic bowl, round with a simple smooth rim and no handles — a plain, unadorned small white bowl, exactly like a simple everyday side-dish bowl (NOT the speckled cream two-handled bowl used for other dishes). Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Mix Veg Pakora,Chaat & Fast Sellers,149,chaat-fast-sellers/mix-veg-pakora.png,"A premium editorial food photograph of Mix Veg Pakora: crispy mixed vegetable fritters served with mint chutney Irregular golden-brown crispy vegetable fritters piled loosely for height, sauce well filled with vivid green mint chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok (pre-existing)
Samosa Chaat,Chaat & Fast Sellers,150,chaat-fast-sellers/samosa-chaat.png,"A premium editorial food photograph of Samosa Chaat: crushed samosas topped with yogurt, chutneys and spices Crushed golden samosa pieces topped with thick yogurt, tamarind and mint chutney drizzles and fine sev, sauce well filled with extra chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok (pre-existing)
Paneer Tikka Skewers,Tandoor & Grill,220,tandoor-grill/paneer-tikka-skewers.png,"A premium editorial food photograph of Paneer Tikka Skewers: cottage cheese cubes marinated in yogurt and aromatic Indian spices, grilled in the traditional tandoor Skewers of char-grilled marinated paneer cubes with bell pepper and onion pieces, visible smoky char marks, thin red onion rings, a lemon wedge and a small metal cup of mint chutney beside. Presented on a plain matte white/cream ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a subtle organic hand-thrown rim texture, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2126x1984,ok (pre-existing)
Mushroom Tikka,Tandoor & Grill,190,tandoor-grill/mushroom-tikka.png,"A premium editorial food photograph of Mushroom Tikka: mushrooms marinated in yogurt and blended Indian spices, grilled to smoky perfection in the tandoor Whole marinated mushrooms threaded on visible metal skewers (the skewers are mandatory and must be clearly shown, do not plate the mushrooms loose without skewers), char-grilled with visible smoky char marks, thin red onion rings, a lemon wedge and a small metal cup of mint chutney beside. Presented on a plain matte white/cream ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a subtle organic hand-thrown rim texture, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2268x1856,ok (pre-existing)
Achari Paneer Tikka,Tandoor & Grill,220,tandoor-grill/achari-paneer-tikka.png,"A premium editorial food photograph of Achari Paneer Tikka: cottage cheese marinated with traditional Indian pickling spices and grilled over charcoal Skewers of char-grilled paneer cubes with a mustard-yellow pickled-spice crust, bell pepper and onion pieces, thin red onion rings, a lemon wedge and a small metal cup of mint chutney beside. Presented on a plain matte white/cream ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a subtle organic hand-thrown rim texture, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2126x1984,ok (pre-existing)
Chicken Tikka,Tandoor & Grill,230,tandoor-grill/chicken-tikka.png,"A premium editorial food photograph of Chicken Tikka: tender boneless chicken marinated with yogurt, spices and grilled in the tandoor Skewers of char-grilled deep-red marinated chicken pieces with smoky char marks, thin red onion rings, a lemon wedge and a small metal cup of mint chutney beside. Presented on a plain matte white/cream ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a subtle organic hand-thrown rim texture, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2126x1984,ok (pre-existing)
Chicken Malai Tikka,Tandoor & Grill,240,tandoor-grill/chicken-malai-tikka.png,"A premium editorial food photograph of Chicken Malai Tikka: creamy cheese and cream-marinated chicken grilled until lightly charred Skewers of char-grilled pale creamy-white chicken pieces with light char marks, thin red onion rings, a lemon wedge and a small metal cup of mint chutney beside. Presented on a plain matte white/cream ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a subtle organic hand-thrown rim texture, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2126x1984,ok (pre-existing)
